"","海水浴(％)","博物館・科学館・美術館(％)","キャンプ・BBQ(％)","スポーツ観戦・劇場(％)","遊園地・テーマパーク(％)"
"困窮層","33.7","27.7","34.8","37.8","45.1"
"周辺層","10.9","5.6","11.8","15.3","18.2"
"一般層","0.2","0.0","0.2","0.5","1.0"
