"","男子／A群","男子／A群","男子／B群","男子／B群","男子／C群","男子／C群","男子／D群","男子／D群","男子／群","男子／年度","男子／群×年度","女子／A群","女子／A群","女子／B群","女子／B群","女子／C群","女子／C群","女子／D群","女子／D群","女子／群","女子／年度","女子／群×年度"
"<0.75秒量>／8年","2.02","0.37","1.98","0.40","2.03","0.36","2.05","0.40","","","","1.98","0.39","1.97","0.37","1.99","0.38","2.02","0.40","","",""
"<0.75秒量>／9年","2.00","0.38","2.02","0.41","2.04","0.36","2.04","0.38","","","","1.98","0.39","1.98","0.39","1.96","0.37","2.02","0.41","","",""
"<0.75秒量>／10年","2.01","0.38","2.04","0.35","2.01","0.35","2.03","0.37","","","","2.00","0.40","2.00","0.39","1.96","0.38","2.00","0.39","","",""
"<0.75秒量>／11年","1.99","0.37","2.03","0.39","2.05","0.37","2.03","0.39","","","","1.94","0.40","1.93","0.36","1.99","0.39","1.93","0.38","","",""
"<0.75秒量>／p値","","","","","","","","","0.037","0.966","0.610","","","","","","","","","0.266","0.014","0.060"
"<0.75秒率>／8年","80.3","6.65","79.9","6.38","80.5","6.09","79.6","6.46","","","","82.6","6.67","82.9","6.12","83.0","5.98","82.2","7.12","","",""
"<0.75秒率>／9年","80.1","6.31","80.5","6.27","80.7","6.36","80.3","6.08","","","","83.4","6.18","83.5","5.83","83.5","6.26","82.9","6.35","","",""
"<0.75秒率>／10年","80.2","6.41","81.0","6.07","80.4","6.21","80.1","5.96","","","","83.8","6.01","83.9","5.79","83.5","6.40","82.9","6.17","","",""
"<0.75秒率>／11年","80.8","6.53","80.5","6.12","80.7","6.12","80.1","6.56","","","","83.5","6.06","83.2","6.31","83.3","6.04","82.9","6.34","","",""
"<0.75秒率>／p値","","","","","","","","","0.050","0.203","0.573","","","","","","","","","0.004","0.002","0.968"
"＜V25＞／7年","1.47","0.48","1.47","0.49","1.42","0.43","1.40","0.44","","","","1.59","0.53","1.61","0.53","1.55","0.54","1.58","0.51","","",""
"＜V25＞／8年","1.44","0.50","1.39","0.48","1.44","0.47","1.41","0.46","","","","1.56","0.54","1.56","0.50","1.56","0.50","1.57","0.55","","",""
"＜V25＞／9年","1.40","0.46","1.42","0.53","1.44","0.46","1.41","0.45","","","","1.58","0.50","1.59","0.51","1.55","0.51","1.60","0.54","","",""
"＜V25＞／10年","1.41","0.45","1.45","0.46","1.42","0.46","1.40","0.45","","","","1.63","0.53","1.61","0.55","1.55","0.53","1.57","0.54","","",""
"＜V25＞／11年","1.43","0.46","1.45","0.50","1.44","0.44","1.42","0.46","","","","1.56","0.54","1.54","0.52","1.54","0.53","1.49","0.53","","",""
"＜V25＞／p値","","","","","","","","","0.133","0.617","0.474","","","","","","","","","0.212","0.051","0.705"
