"","100万未満(%)","100～200万未満(%)","200～400万未満(%)","400～600万未満(%)","600～800万未満(%)","800万以上(%)","無回答(%)"
"24年(63世帯)","4.8","7.9","19.1","22.2","15.9","25.5","4.8"
"19年(65世帯)","1.5","1.5","26.1","32.3","12.3","23.1","3.1"
"14年(78世帯)","2.6","7.7","17.9","33.3","17.9","16.7","3.8"
