"","１００万未満(%)","１００～２００万未満(%)","２００～３００万未満(%)","３００～４００万未満(%)","４００万以上(%)","サンプル数","平均"
"TOTAL","9.0","6.8","20.9","39.3","24.0","1735","295.1"
"正規職員雇用のみ希望者","7.6","","17.9","43.1","30.0","850","321.4"
"パート・非常勤雇用のみ希望者","22.9","28.8","23.3","18.2","6.8","236","190.6"
"正規職員またはパート・非常勤雇用希望者","6.2","11.2","27.5","38.8","16.3","178","275.7"
