"上段：度数／下段：%","n=","大変満足","満足","やや満足","どちらともいえない","やや不満","不満","非常に不満","無回答","平均値"
"ＴＯＴＡＬ","8214","856","2399","1476","1602","787","415","231","448","0.8"
"ＴＯＴＡＬ","100","10.4","29.2","18.0","19.5","9.6","5.1","2.8","5.5",""
"性別・年代／女性計","7526","795","2216","1360","1450","728","376","208","393","0.9"
"性別・年代／女性計","100","10.6","29.4","18.1","19.3","9.7","5.0","2.8","5.2",""
"性別・年代／女性２０代","3297","331","910","571","703","331","178","124","149","0.7"
"性別・年代／女性２０代","100","10.0","27.6","17.3","21.3","10.0","5.4","3.8","4.5",""
"性別・年代／女性３０代","1612","167","462","286","320","182","71","47","77","0.8"
"性別・年代／女性３０代","100","10.4","28.7","17.7","19.9","11.3","4.4","2.9","4.8",""
"性別・年代／女性４０代","1560","205","503","292","253","117","81","26","83","1.1"
"性別・年代／女性４０代","100","13.1","32.2","18.7","16.2","7.5","5.2","1.7","5.3",""
"性別・年代／女性５０代以上","1005","87","328","201","163","94","44","10","78","1.0"
"性別・年代／女性５０代以上","100","8.7","32.6","20.0","16.2","9.4","4.4","1.0","7.8",""
"性別・年代／男性計","380","40","102","60","96","29","16","8","29","0.9"
"性別・年代／男性計","100","10.5","26.8","15.8","25.3","7.6","4.2","2.1","7.6",""
"性別・年代／男性２０代","281","32","78","44","62","23","10","6","26","0.9"
"性別・年代／男性２０代","100","11.4","27.8","15.7","22.1","8.2","3.6","2.1","9.3",""
"性別・年代／男性３０代以上","99","8","24","16","34","6","6","2","3","0.7"
"性別・年代／男性３０代以上","100","8.1","24.2","16.2","34.3","6.1","6.1","2.0","3.0",""
"性別・年代／無回答","308","21","81","56","56","30","23","15","26","0.6"
"性別・年代／無回答","100","6.8","26.3","18.2","18.2","9.7","7.5","4.9","8.4",""
