"年齢","人","平均値(mg)","標準偏差(mg)","パーセンタイル／1(mg)","パーセンタイル／5(mg)","パーセンタイル／10(mg)","パーセンタイル／25(mg)","パーセンタイル／50(中央値)(mg)","パーセンタイル／75(mg)","パーセンタイル／90(mg)","パーセンタイル／95(mg)","パーセンタイル／99(mg)"
"男性総数","205","313","181","24","91","117","167","277","434","586","654","722"
"1～2歳","4","234","219","26","37","51","93","195","336","449","487","517"
"3～5歳","5","191","49","125","133","143","174","178","233","240","243","245"
"6～7歳","6","240","55","178","180","181","196","241","266","297","310","321"
"8～9歳","3","129","26","106","108","110","116","125","141","150","154","156"
"10～11歳","5","266","149","115","123","134","166","222","346","428","455","477"
"12～14歳","8","348","200","137","142","149","220","305","413","601","662","711"
"15～17歳","6","382","169","127","158","197","291","413","506","535","547","556"
"18～29歳","20","383","195","31","70","156","227","385","550","619","627","659"
"30～49歳","42","265","175","52","64","111","134","206","324","579","647","664"
"50～69歳","60","351","192","75","94","102","189","318","515","592","657","809"
"70歳以上","46","310","167","35","102","143","175","278","413","539","654","685"
"女性総数","228","300","171","30","73","99","162","278","411","524","610","719"
"1～2歳","3","204","115","121","124","127","139","158","247","300","318","332"
"3～5歳","2","374","29","354","356","358","364","374","385","391","393","395"
"6～7歳","6","217","85","129","130","130","139","215","293","306","309","311"
"8～9歳","4","205","51","148","152","157","172","205","238","253","257","261"
"10～11歳","1","289","0","289","289","289","289","289","289","289","289","289"
"12～14歳","8","388","145","202","203","204","270","401","498","562","565","567"
"15～17歳","7","346","119","242","248","254","269","281","421","514","516","518"
"18～29歳","17","349","193","25","66","85","252","343","485","620","635","652"
"30～49歳","60","288","170","32","65","99","153","256","400","513","551","710"
"50～69歳","71","326","178","67","85","103","151","342","438","552","633","720"
"70歳以上","49","262","173","21","60","74","140","231","358","501","562","760"
"(再掲)妊婦","1","520","0","520","520","520","520","520","520","520","520","520"
"授乳婦","1","323","0","323","323","323","323","323","323","323","323","323"
