"","平成19年(人)","平成20年(人)","平成21年(人)","平成22年(人)","平成23年(人)","平成24年(人)","平成25年(人)","平成26年(人)"
"合計","4601","5479","7939","8435","7855","7257","8117","8672"
"3歳以上","788","685","692","772","737","714","906","774"
"2歳","1397","1268","2036","2155","1827","1698","1691","1701"
"1歳","1900","2678","3877","3873","3715","3487","3883","4046"
"0歳","516","848","1334","1635","1576","1358","1637","2151"
