"","平成8年","平成10年","平成12年","平成14年","平成16年","平成18年","平成20年","平成22年","平成24年","平成25年","平成26年","平成27年"
"都男性(%)","63.7","56.6","58.2","59.3","58.0","60.3","55.1","55.7","56.4","58.2","52.4","56.5"
"都女性(%)","44.6","35.1","45.3","40.8","44.7","43.6","34.7","44.8","38.4","38.6","34.6","42.6"
"全国男性(%)","50.2","48.1","48.7","47.7","47.9","46.0","43.6","43.6","42.2","46.1","43.6",""
"全国女性(%)","33.8","33.5","33.8","34.4","35.1","34.0","31.3","33.1","32.6","32.5","31.6",""
