"","現実(％)","理想(％)"
"自分10配偶者0","0.4","0.2"
"自分９配偶者1","2.1","0.8"
"自分８配偶者2","2.7","2.3"
"自分７配偶者3","1.6","2.7"
"自分６配偶者4","1.2","2.4"
"自分５配偶者5","3.3","22.5"
"自分４配偶者6","4.0","20.1"
"自分３配偶者7","13.5","26.9"
"自分２配偶者8","30.2","14.2"
"自分１配偶者9","34.0","4.2"
"自分０配偶者10","5.2","1.7"
"無回答","1.7","2.0"
