"年度","よくある(%)","ときどきある(%)","ほとんどない(%)","まったくない(%)","無回答(%)"
"24","76.7","20.8","1.5","0.5","0.6"
"19","69.4","28.6","1.1","0.5","0.4"
"14","71.9","26.2","1.2","0.3","0.5"
"9","54.1","40.5","4.7","0.6","0.1"
