"","年","嫡出でない子の割合（％）"
"日本","2007","2.0"
"日本","2003","1.93"
"アメリカ","2006","38.5"
"アイスランド","2007","63.77"
"スウェーデン","2007","54.76"
"ノルウェー","2007","54.48"
"デンマーク","2007","46.10"
"フランス","2007","51.69"
"イギリス","2006","43.66"
"フィンランド","2007","40.58"
"オランダ","2007","39.46"
"ドイツ","2007","30.82"
"スペイン","2006","28.38"
"イタリア","2007","20.71"
