"保険者番号","保険者別","受診率／入院","受診率／入院外","受診率／歯科","受診率／計","1件当たり日数／入院(日)","1件当たり日数／入院外(日)","1件当たり日数／歯科(日)","1件当たり日数／計(日)","1日当たり費用額／入院(円)","1日当たり費用額／入院外(円)","1日当たり費用額／歯科(円)","1日当たり費用額／計(円)","1人当たり費用額／入院(円)","1人当たり費用額／入院外(円)","1人当たり費用額／歯科(円)","1人当たり費用額／計(円)"
"40","奥多摩町","4.762","900.000","128.571","1033.333","3.00","1.45","1.26","1.43","56213","5386","5943","5937","8030","70273","9621","87925"
"42","日野市","15.276","964.121","92.161","1071.558","6.63","1.46","1.47","1.54","54397","5752","6859","8833","55053","81130","9292","145476"
"44","多摩市","17.149","973.312","90.354","1080.815","7.63","1.58","1.44","1.66","66833","6197","7238","10694","87463","95048","9449","191960"
"45","稲城市","23.675","1062.086","102.980","1188.742","7.73","1.58","1.46","1.69","43737","5251","6315","8835","80015","87988","9514","177516"
"46","国立市","10.145","909.058","115.761","1034.964","7.80","1.52","1.33","1.56","54451","5158","7116","7765","43107","71171","10931","125209"
"47","狛江市","12.770","1019.784","101.799","1134.353","6.03","1.71","1.34","1.72","59451","4499","6856","6827","45764","78354","9360","133478"
"48","小金井市","13.476","963.553","105.666","1082.695","6.94","1.54","1.44","1.60","72406","5384","7234","9174","67749","79863","11000","158612"
"49","国分寺市","12.107","863.365","92.453","967.925","7.08","1.56","1.41","1.62","66742","5327","7166","8845","57192","71813","9318","138324"
"51","武蔵村山市","19.773","861.932","93.068","974.773","8.87","1.64","1.54","1.78","51219","5726","6615","10402","89809","80987","9494","180289"
"52","東大和市","14.116","885.092","114.116","1013.325","8.41","1.51","1.46","1.60","75871","5184","7665","10614","90084","69268","12792","172144"
"53","東村山市","15.307","908.066","118.423","1041.797","6.11","1.46","1.42","1.53","60817","5466","6840","8866","56915","72671","11505","141091"
"54","清瀬市","14.865","966.723","115.878","1097.466","4.63","1.55","1.43","1.58","53909","5892","6904","7894","37063","88274","11441","136777"
"55","東久留米市","15.190","923.936","105.178","1044.304","8.23","1.47","1.43","1.57","51138","5178","6688","8827","63966","70555","10051","144572"
"57","西東京市","16.347","966.667","117.626","1100.640","6.55","1.58","1.43","1.64","80214","5662","6618","10169","85858","86678","11138","183674"
"58","小平市","16.357","947.286","116.431","1080.074","6.81","1.54","1.42","1.61","58335","5394","7159","8955","65014","78886","11833","155734"
"59","大島町","5.405","672.973","87.838","766.216","4.00","1.57","1.58","1.59","35466","4641","6936","5452","7668","48914","9654","66237"
"60","利島村","40.000","940.000","200.000","1180.000","7.50","1.38","1.00","1.53","283899","14912","2217","58333","851696","193860","4434","1049990"
"61","新島村","21.875","593.750","265.625","881.250","10.43","1.43","1.32","1.62","50721","4617","4821","12048","115708","39100","16872","171680"
"62","神津島村","16.364","645.455","80.000","741.818","4.00","1.44","1.32","1.49","43829","9508","8229","11424","28688","88511","8678","125877"
