"","全体／人","全体／％","男／人","男／％","女／人","女％"
"総数","308","100.00","144","100.00","164","100.00"
"15未満","1","0.30","1","0.70","0","0.00"
"15~15.9","3","1.00","1","0.70","2","1.20"
"16~16.9","4","1.30","0","0.00","4","2.40"
"17~17.9","9","2.90","0","0.00","9","5.50"
"18~18.9","26","8.40","6","4.20","20","12.20"
"19~19.9","29","9.40","9","6.30","20","12.20"
"20~20.9","37","12.00","13","9.00","24","14.60"
"21~21.9","36","11.70","13","9.00","23","14.00"
"22~22.9","42","13.60","28","19.40","14","8.50"
"23~23.9","26","8.40","14","9.70","12","7.30"
"24~24.9","32","10.40","23","16.00","9","5.50"
"25~25.9","19","6.20","14","9.70","5","3.00"
"26~26.9","16","5.20","6","4.20","10","6.10"
"27~27.9","6","1.90","3","2.10","3","1.80"
"28~28.9","5","1.60","2","1.40","3","1.80"
"29~29.9","4","1.30","3","2.10","1","0.60"
"30~30.9","3","1.00","2","1.40","1","0.60"
"31~31.9","4","1.30","3","2.10","1","0.60"
"32~32.9","0","0.00","0","0.00","0","0.00"
"33~33.9","0","0.00","0","0.00","0","0.00"
"34~34.9","4","1.30","3","2.10","1","0.60"
"35以上","2","0.60","0","0.00","2","1.20"
