"","あしたばの栄養成分（100gあたり）","単位"
"カリウム","540","mg"
"βカロチン (ビタミンＡ)","5300","μg"
"ビタミンＣ","41","mg"
"食物繊維","5.6","g"
"カルシウム","65","mg"
"鉄分","1.0","mg"
