"","8.0g以下","8.0gより多い","（再）8.0未満","（再）7.0g未満"
"男性／人","37","127","37",""
"男性／%","22.6","77.4","22.6",""
"女性／人","79","113","","65"
"女性／%","41.1","58.9","","33.9"
