"","いつもわかる(％)","だいたいわかる(％)","あまりわからない(％)","わからないことが多い(％)","ほとんどわからない(％)","無回答(％)"
"全体","29.6","56.0","7.6","4.4","1.0","1.5"
"困窮層","14.3","53.7","15.1","11.9","1.7","3.3"
"周辺層","18.2","61.2","11.1","6.0","2.2","1.4"
"一般層","34.1","53.7","6.5","3.6","0.8","1.3"
