"","進捗率","セルフ率"
"（合計）","",""
"北海道","99.2","52.5"
"青森県","99.9","0.3"
"岩手県","99.9","32.3"
"宮城県","99.3","50.2"
"秋田県","99.7","5.1"
"山形県","100","1"
"福島県","98.8","9.5"
"茨城県","99.5","29.4"
"栃木県","100","20.2"
"群馬県","100","8.2"
"埼玉県","99.5","41.9"
"千葉県","99.5","34.6"
"東京都","98.1","37.5"
"神奈川県","100","52.8"
"新潟県","100","2"
"富山県","97.3","2.2"
"石川県","100","2.6"
"福井県","100","8.1"
"山梨県","99.3","2.6"
"長野県","100","2.7"
"岐阜県","99.9","9.9"
"静岡県","99","17.4"
"愛知県","99.9","32"
"三重県","99.9","9.3"
"滋賀県","97.9","13.1"
"京都府","93.6","44.8"
"大阪府","99.8","47"
"兵庫県","94.7","25.1"
"奈良県","99","23.3"
"和歌山県","100","47.2"
"鳥取県","99.2","8.8"
"島根県","100","6.3"
"岡山県","99.9","31.2"
"広島県","99.9","36.6"
"山口県","97.4","0.3"
"徳島県","100","0.1"
"香川県","100","0.1"
"愛媛県","100","26"
"高知県","100","10.5"
"福岡県","98.8","18.3"
"佐賀県","100","20.6"
"長崎県","100","16.2"
"熊本県","100","5"
"大分県","99.9","0"
"宮崎県","100","0.1"
"鹿児島県","100","3.2"
"沖縄県","99.9","1"
