"","配偶者有・子供有(%)","配偶者有・子供無(%)","配偶者無・子供有(%)","配偶者無・子供無(%)","無回答(%)","サンプル数"
"TOTAL","42.9","9.4","4.8","37.8","5.2","15369"
"現在保育士就業中","38.6","9.2","5.1","41.6","5.4","8214"
"過去保育士就業経験有","58.6","11.2","6.1","18.7","5.4","2871"
"保育士就業経験無","40.2","8.5","","44.1","4.2","3969"
