"","H17／10月","H19／年度末","H20／年度末","H21／年度末","H22／年度末","H23／年度末","H24／年度末","H25／年度末","H26／年度末","H27／年度末","H28／年度末","(目標)"
"定員数","7344","7589","7576","7443","7451","7418","7374","7413","7411","7446","7393","7344"
"定員数／都内","4133","4382","4372","4267","4278","4268","4224","4264","4321","4359","4319",""
"定員数／都外","3211","3207","3204","3176","3173","3150","3150","3149","3090","3087","3074",""
