"年度末","18(人)","21(人)","22(人)","23(人)","24(人)","25(人)"
"合計","40123","55868","61880","67066","73667","79646"
"3級","11597","18395","21162","23701","27976","32288"
"2級","22296","31621","34697","37508","39890","41658"
"1級","6230","5852","6021","5857","5801","5700"
