"","20代(%)","30代(%)","40代(%)","50代(%)","60代以上(%)","無回答(%)","サンプル数"
"TOTAL","41.5","25.0","19.9","10.1","","","15369"
"現在保育士就業中","44.9","20.8","20.0","11.2","","","8214"
"過去保育士就業経験有","24.9","34.9","22.1","12.1","4.9","","2871"
"保育士就業経験無","47.0","26.3","18.3","6.1","","","3969"
