"上段：度数／下段：%","n=","認可保育所","認証保育所（Ａ型）","認証保育所（Ｂ型）","認定こども園","事業所内保育所","院内保育所","子育て広場","学童クラブ","家庭的保育者（保育ママ）","児童福祉施設（保育所を除く）","ベビーホテル","その他","無回答"
"ＴＯＴＡＬ","2871","1827","271","44","59","70","96","16","89","16","101","8","197","77"
"ＴＯＴＡＬ","100","63.6","9.4","1.5","2.1","2.4","3.3","0.6","3.1","0.6","3.5","0.3","6.9","2.7"
"性別・年代／女性計","2641","1687","247","41","52","68","91","14","77","14","91","7","183","69"
"性別・年代／女性計","100","63.9","9.4","1.6","2.0","2.6","3.4","0.5","2.9","0.5","3.4","0.3","6.9","2.6"
"性別・年代／女性２０代","634","393","90","9","25","10","10","2","18","2","15","1","44","15"
"性別・年代／女性２０代","100","62.0","14.2","1.4","3.9","1.6","1.6","0.3","2.8","0.3","2.4","0.2","6.9","2.4"
"性別・年代／女性３０代","961","607","104","15","17","27","36","3","30","5","32","2","58","25"
"性別・年代／女性３０代","100","63.2","10.8","1.6","1.8","2.8","3.7","0.3","3.1","0.5","3.3","0.2","6.0","2.6"
"性別・年代／女性４０代","590","378","27","11","7","17","23","5","21","6","25","3","53","14"
"性別・年代／女性４０代","100","64.1","4.6","1.9","1.2","2.9","3.9","0.8","3.6","1.0","4.2","0.5","9.0","2.4"
"性別・年代／女性５０代以上","425","288","21","6","2","13","20","4","8","1","19","1","27","15"
"性別・年代／女性５０代以上","100","67.8","4.9","1.4","0.5","3.1","4.7","0.9","1.9","0.2","4.5","0.2","6.4","3.5"
"性別・年代／男性計","86","43","12","1","2","1","2","1","10","0","7","1","3","3"
"性別・年代／男性計","100","50.0","14.0","1.2","2.3","1.2","2.3","1.2","11.6","0.0","8.1","1.2","3.5","3.5"
"性別・年代／男性２０代","51","24","8","1","2","1","1","1","4","0","4","1","2","2"
"性別・年代／男性２０代","100","47.1","15.7","2.0","3.9","2.0","2.0","2.0","7.8","0.0","7.8","2.0","3.9","3.9"
"性別・年代／男性３０代以上","35","19","4","0","0","0","1","0","6","0","3","0","1","1"
"性別・年代／男性３０代以上","100","54.3","11.4","0.0","0.0","0.0","2.9","0.0","17.1","0.0","8.6","0.0","2.9","2.9"
"性別・年代／無回答","144","97","12","2","5","1","3","1","2","2","3","0","11","5"
"性別・年代／無回答","100","67.4","8.3","1.4","3.5","0.7","2.1","0.7","1.4","1.4","2.1","0.0","7.6","3.5"
