"","H22.5","H23.5","H24.5","H25.5","H26.5"
"小学1～3年生の利用率(%)","28.5","28.9","29.4","30.0","30.4"
"小学1年生の利用率(%)","32.8","33.6","34.2","34.9","35.5"
