"","家の中(%)","屋内屋外併用(%)","しつけ無し(%)"
"屋内飼育","99.1","0.0","0.9"
"自由に出入り","21.6","59.1","17.0"
"飼い主が外出管理","55.0","35.0","7.5"
"屋外のみ","0.0","14.3","85.7"
