"","施設数","１誤食／施設数","１誤食／割合","２初発／施設数","２初発／割合","無回答／施設数","無回答／割合"
"認可保育所＊","574","172","30.0","406","70.7","40","7.0"
"認証保育所＊","150","47","31.3","101","67.3","10","6.7"
"認定こども園＊","22","12","54.5","10","45.5","",""
"幼稚園＊","79","39","49.4","37","46.8","7","8.9"
"ベビーホテル","44","13","29.5","30","68.2","2","4.5"
"家庭的保育","31","5","16.1","19","61.3","8","25.8"
"学童保育","69","47","68.1","21","30.4","3","4.3"
"上記以外の施設","45","11","24.4","34","75.6","1","2.2"
"総数","1014","346","34.1","658","64.9","71","7.0"
"＊前回調査施設 (再掲）","825","270","32.7","554","67.2","57","6.9"
