"区分","平成9年度","平成20年度","平成21年度","平成22年度","平成23年度","平成24年度","平成25年度"
"就業率／東京都(％)","24.5","40.1","39.8","38.9","41.8","43.1","43.3"
"就業率／全国(％)","32","26.4","26.7","27.4","28.4","30.2","31.1"
