"","電話(％)","電気(％)","ガス(％)","水道(％)","家賃(％)","住宅ローン(％)","その他債務(％)"
"小学２年生","3.0","2.6","2.5","2.6","1.8","1.1","4.0"
"中学２年生","2.9","2.2","2.1","2.2","2.0","1.3","4.7"
"16-17歳","3.1","3.2","2.8","2.9","2.1","1.5","4.7"
