"","小学6年生(人)","小学6年生(%)","中学3年生(人)","中学3年生(%)"
"0日","296","98.0","303","96.2"
"1～2日","2","0.7","1","0.3"
"3～5日","","0.0","1","0.3"
"毎日","","0.0","1","0.3"
"無記入","4","1.3","9","2.9"
"合計","302","100.0","315","100.0"
