"","小学6年生(人)","小学6年生(%)","中学3年生(人)","中学3年生(%)"
"絶対に断る","253","83.8","269","85.4"
"たぶん断る","35","11.6","41","13.0"
"たぶん吸う","9","3.0","4","1.3"
"絶対に吸う","1","0.3","1","0.3"
"無記入","4","1.3","","0.0"
"合計","302","100.0","315","100.0"
