"年度","賛成(%)","どちらかといえば賛成(%)","わからない(%)","どちらかとえいば反対(%)","反対(%)"
"16","12.7","32.5","5.9","27.4","21.5"
"14","14.8","32.1","6.1","27.0","20.0"
