"","平成17年(%)","平成18年(%)","平成19年(%)","平成20年(%)","平成21年(%)","平成22年(%)","平成23年(%)","平成24年(%)","平成25年(%)","平成26年(%)","平成27年(%)"
"都男性","8391","8233","7454","7917","7840","8046","7853","7715","8097","7454","7838"
"都女性","6640","7295","6460","6923","7229","6856","6844","6577","7367","6460","7364"
"全国男性","7561","7413","7321","7011","7214","7136","7233","7139","7099","7043","7194"
"全国女性","6526","6590","6267","5945","6352","6117","6437","6257","6249","6015","6227"
