"","ステンレス","シリコン","ナイロン","竹"
"予洗い+洗浄(弱アルカリ性洗剤)／菜箸(先端)","-","-","","+"
"予洗い+洗浄(弱アルカリ性洗剤)／菜箸(上部)","+","+","","+"
"予洗い+洗浄(弱アルカリ性洗剤)／泡立て器(先端)","+","","+",""
"予洗い+洗浄(弱アルカリ性洗剤)／泡立て器(上部)","+","","+",""
"予洗い+洗浄(弱アルカリ性洗剤)／フライ返し","+","+","+",""
"予洗い+つけ置き(混合溶液)+洗浄(弱アルカリ性洗剤)／菜箸(先端)","-","+","","+"
"予洗い+つけ置き(混合溶液)+洗浄(弱アルカリ性洗剤)／菜箸(上部)","-","+","","-"
"予洗い+つけ置き(混合溶液)+洗浄(弱アルカリ性洗剤)／泡立て器(先端)","-","","-",""
"予洗い+つけ置き(混合溶液)+洗浄(弱アルカリ性洗剤)／泡立て器(上部)","-","","+",""
"予洗い+つけ置き(混合溶液)+洗浄(弱アルカリ性洗剤)／フライ返し","-","+","+",""
