"","～13時59分(%)","14時～14時59分(%)","15時～15時59分(%)","16時～16時59分(%)","17時～17時59分(%)","18時～18時59分(%)","19時～19時59分(%)","20時～20時59分(%)","21時～21時59分(%)","22時～(%)"
"ひとり親世帯","2.5","9.1","3.3","7.4","26.4","28.1","14","3.3","1.7","0"
"共働き世帯","2.8","10.8","2.8","13","30.5","30.6","6.7","0.9","0","0.2"
