"","有効求人倍率（全国） (倍)","有効求人倍率（東京都）(倍)"
"H16","0.86","1.21"
"H17","0.98","1.46"
"H18","1.06","1.53"
"H19","1.02","1.38"
"H20","0.77","1.12"
