"年齢","人","平均値(mg)","標準偏差(mg)","パーセンタイル／1(mg)","パーセンタイル／5(mg)","パーセンタイル／10(mg)","パーセンタイル／25(mg)","パーセンタイル／50(中央値)(mg)","パーセンタイル／75(mg)","パーセンタイル／90(mg)","パーセンタイル／95(mg)","パーセンタイル／99(mg)"
"男性総数","205","252","94","79","117","152","192","237","311","375","395","497"
"1～2歳","4","147","87","37","48","61","101","163","209","220","223","226"
"3～5歳","5","140","20","118","119","120","125","139","151","161","164","166"
"6～7歳","6","214","42","174","176","177","184","206","230","260","273","283"
"8～9歳","3","221","57","158","165","174","202","247","254","257","259","260"
"10～11歳","5","219","39","172","176","182","199","216","233","259","268","275"
"12～14歳","8","222","78","97","118","145","182","215","272","319","323","326"
"15～17歳","6","256","94","184","185","187","192","204","333","377","380","382"
"18～29歳","20","244","57","160","166","187","207","237","260","319","325","378"
"30～49歳","42","229","91","88","107","117","170","215","275","337","401","461"
"50～69歳","60","286","104","114","157","186","216","269","347","383","400","586"
"70歳以上","46","267","93","41","136","178","221","256","313","370","437","505"
"女性総数","228","231","97","73","100","129","167","215","278","336","417","546"
"1～2歳","3","163","49","130","131","132","135","140","180","204","211","218"
"3～5歳","2","181","21","166","167","169","173","181","188","193","194","196"
"6～7歳","6","147","45","110","112","113","118","135","151","193","213","229"
"8～9歳","4","191","58","111","122","135","174","210","228","233","235","236"
"10～11歳","1","212","0","212","212","212","212","212","212","212","212","212"
"12～14歳","8","208","42","157","158","159","171","205","248","257","259","260"
"15～17歳","7","206","42","164","164","166","172","194","231","251","264","275"
"18～29歳","17","229","141","139","140","140","157","193","203","325","426","669"
"30～49歳","60","218","84","79","100","135","164","203","261","310","377","467"
"50～69歳","71","256","102","70","101","128","186","256","298","384","445","526"
"70歳以上","49","238","101","43","90","114","182","228","294","333","404","518"
"(再掲)妊婦","1","247","0","247","247","247","247","247","247","247","247","247"
"授乳婦","1","195","0","195","195","195","195","195","195","195","195","195"
