"","台東区","練馬区","武蔵野市","日の出町"
"ボランティアからの移行","0","18","45","0"
"町会掲示板・回覧板","5","47","0","0"
"区市町村広報","15","22","0","0"
"個別電話対応","0","0","0","32"
"ホームページ","0","9","0","0"
"その他","5","0","4","0"
"折込チラシ","0","0","0","0"
