"","男性／総数","男性／20-29歳","男性／30-39歳","男性／40-49歳","男性／50-59歳","男性／60-69歳","男性／70歳以上","女性／総数","女性／20-29歳","女性／30-39歳","女性／40-49歳","女性／50-59歳","女性／60-69歳","女性／70歳以上"
"人数(人)","193","19","25","29","34","36","50","218","19","14","48","33","49","55"
"5時間未満(%)","7.8","10.5","4.0","13.8","5.9","5.6","8.0","7.8","15.8","0.0","8.3","6.1","10.2","5.5"
"5時間以上6時間未満(%)","35.8","52.6","32.0","44.8","44.1","25.0","28.0","29.8","31.6","28.6","27.1","42.4","34.7","20.0"
"6時間以上7時間未満(%)","34.2","26.3","56.0","24.1","38.2","44.4","22.0","33.9","31.6","42.9","45.8","42.4","30.6","20.0"
"7時間以上8時間未満(%)","18.1","10.5","8.0","17.2","11.8","19.4","30.0","21.1","10.5","21.4","14.6","6.1","24.5","36.4"
"8時間以上9時間未満(%)","3.1","0.0","0.0","0.0","0.0","5.6","8.0","5.0","0.0","7.1","4.2","3.0","0.0","12.7"
"9時間以上(%)","1.0","0.0","0.0","0.0","0.0","0.0","4.0","2.3","10.5","0.0","0.0","0.0","0.0","5.5"
