"","平成22年度","平成23年度","平成24年度","平成25年度","平成26年度","平成27年度"
"東京都の平均工賃実績(円)","14285","13893","14485","14588","14935","15086"
"全国の平均工賃実績(円)","13079","13586","14190","14437","14838",""
