"","総数","２５～２９歳","３０～３４歳","３５～３９歳","４０～４４歳","４５～４９歳","５０～５４歳"
"東京(%)","49.9","72.3","61.0","59.0","64.3","68.3","66.8"
"全国(%)","47.9","68.7","56.8","61.1","69.4","71.5","67.0"
