"年度","昭和58年度","昭和59年度","昭和60年度","昭和61年度","昭和62年度","昭和63年度","平成元年度","平成2年度","平成3年度","平成4年度","平成5年度","平成6年度","平成7年度","平成8年度","平成9年度","平成10年度","平成11年度","平成12年度","平成13年度","平成14年度","平成15年度","平成16年度","平成17年度","平成18年度","平成19年度","平成20年度","平成21年度","平成22年度"
"規模（件）","226210","251368","283645","317548","347758","375383","408566","431584","453081","484384","529943","594461","671573","776389","878246","1029266","1148402","1293031","1449502","1612108","1762887","1965269","2139192","2108806","2168989","2307736","2466168","2660837"
"金額（百万円）","1561","1671","1968","2202","2508","2761","3152","3449","3838","4245","4874","5629","5953","6647","7765","9072","9993","11036","12155","13027","13138","14412","15482","15782","16719","17776","19453","21663"
