"","16年度(人)","17年度(人)","18年度(人)","19年度(人)","20年度(人)","21年度(人)"
"認可保育所","1609","901","1741","2450","1745","2632"
"認証保育所","1871","1872","1636","1449","1593","1438"
"待機児童数","5223","5221","4908","4601","5479","7939"
