"","内容／件数","人畜共通感染症／知識有り","人畜共通感染症／知識有り(%)","人畜共通感染症／1つ知っている","人畜共通感染症／1つ知っている(%)","人畜共通感染症／2つ知っている","人畜共通感染症／2つ知っている(%)","人畜共通感染症／3つ知っている","人畜共通感染症／3つ知っている(%)","人畜共通感染症／4つ知っている","人畜共通感染症／4つ知っている(%)","人畜共通感染症／5つ以上","人畜共通感染症／5つ以上(%)","人畜共通感染症／知らない","人畜共通感染症／知らない(%)","従業員の人数／平均","従業員の人数／平均(%)"
"全体（％）","340","200","59","89","26","51","15","32","9","14","4","14","4","135","40","3.4","1"
"売買（％）","238","145","61","75","32","38","16","20","8","9","4","3","1","90","38","3.5","1"
"貸出（％）","5","4","80","1","20","1","20","2","40","0","0","0","0","1","20","4.4","88"
"保管（％）","135","78","58","22","16","20","15","21","16","7","5","8","6","56","41","3.5","3"
"訓練（％）","17","9","53","3","18","3","18","1","6","1","6","1","6","8","47","2.7","16"
"輸出入（％）","6","4","67","2","33","1","17","0","0","0","0","1","17","2","33","2.7","45"
"美容（％）","208","125","60","47","23","29","14","26","13","12","6","11","5","79","38","3.5","2"
