"保険者番号","保険者別","賦課期日現在の保険料（税）算定額及びその構成割合／所得割額／金額(千円)","賦課期日現在の保険料（税）算定額及びその構成割合／所得割額／割合(%)","賦課期日現在の保険料（税）算定額及びその構成割合／資産割額／金額(千円)","賦課期日現在の保険料（税）算定額及びその構成割合／資産割額／割合(%)","賦課期日現在の保険料（税）算定額及びその構成割合／均等割額／金額(千円)","賦課期日現在の保険料（税）算定額及びその構成割合／均等割額／割合(%)","賦課期日現在の保険料（税）算定額及びその構成割合／平等割額／金額(千円)","賦課期日現在の保険料（税）算定額及びその構成割合／平等割額／割合(%)","賦課期日現在の保険料（税）算定額及びその構成割合／計(千円)","保険料（税）軽減額(千円)","災害等による減免額(千円)","その他の減免額(千円)","賦課限度額を超える額(千円)","増減額(千円)","調定額(千円)"
"29","府中市","32424","68.24","","","15089","31.76","","","47513","2990","0","16","5503","-7065","31939"
"30","昭島市","25104","60.56","","","16346","39.44","","","41450","3109","0","0","3070","-6746","28525"
"31","調布市","30646","69.09","","","13709","30.91","","","44355","2643","0","1","2623","-9458","29630"
"32","町田市","74049","68.49","","","28145","26.03","5930","5.48","108124","5766","0","0","20735","-15482","66141"
"33","福生市","14630","62.56","","","8756","37.44","","","23386","1582","0","0","2563","-4132","15109"
"34","羽村市","10688","72.19","","","4118","27.81","","","14806","851","0","0","4145","-1740","8070"
"35","瑞穂町","4083","66.86","","","2024","33.14","","","6107","361","0","0","332","-685","4729"
"36","あきる野市","11844","59.60","","","8028","40.40","","","19872","1539","0","0","779","-3685","13869"
"37","日の出町","2193","52.30","","","2000","47.70","","","4193","368","0","0","0","-570","3255"
"39","檜原村","471","52.16","","","432","47.84","","","903","70","0","0","0","-44","789"
"40","奥多摩町","909","51.74","","","848","48.26","","","1757","162","0","0","0","-317","1278"
"42","日野市","19816","67.96","","","9342","32.04","","","29158","1583","10","0","498","-3419","23648"
"44","多摩市","23818","56.04","","","18680","43.96","","","42498","3419","0","0","864","-6813","31402"
"45","稲城市","19185","79.56","","","4928","20.44","","","24113","802","0","0","4804","-7359","11148"
"46","国立市","10320","66.76","","","5138","33.24","","","15458","928","0","0","1201","-2417","10912"
"47","狛江市","16031","64.10","","","8978","35.90","","","25009","1655","0","0","6097","-3135","14122"
"48","小金井市","23970","60.58","","","15596","39.42","","","39566","2555","0","0","4849","-5330","26832"
"49","国分寺市","10347","54.12","","","8772","45.88","","","19119","1445","0","0","355","-2558","14761"
"51","武蔵村山市","12070","64.25","","","6716","35.75","","","18786","1121","0","0","1993","-1752","13920"
"52","東大和市","14665","67.07","","","7200","32.93","","","21865","1191","0","0","1764","-3200","15710"
"53","東村山市","28227","66.55","","","14188","33.45","","","42415","2663","0","0","2131","-11356","26265"
"54","清瀬市","6635","69.06","","","2972","30.94","","","9607","634","0","0","212","-2060","6701"
"55","東久留米市","20786","58.66","","","12985","36.65","1660","4.69","35431","2939","0","0","1197","-7435","23860"
"57","西東京市","33769","72.67","","","12701","27.33","","","46470","2477","0","0","5212","-7569","31212"
"58","小平市","30654","64.75","","","16689","35.25","","","47343","2961","0","0","4481","-7622","32279"
"59","大島町","639","36.95","208","12.03","598","34.59","284","16.43","1729","157","0","0","0","-341","1231"
"60","利島村","","","","","","","","","","","","","","",""
"61","新島村","242","45.15","27","5.04","195","36.38","72","13.43","536","50","0","0","0","-69","417"
"62","神津島村","34","26.99","28","22.22","36","28.57","28","22.22","126","11","0","0","0","-12","103"
"63","三宅村","216","46.75","","","178","38.53","68","14.72","462","69","0","0","0","-78","315"
"64","御蔵島村","","","","","","","","","","","","","","",""
"65","八丈町","457","34.91","12","0.92","300","22.92","540","41.25","1309","93","0","0","0","-485","731"
"66","青ヶ島村","","","","","","","","","","","","","","",""
"67","小笠原村","","","","","","","","","","","","","","",""
