"","男性／総数","男性／20-29歳","男性／30-39歳","男性／40-49歳","男性／50-59歳","男性／60-69歳","男性／70歳以上","男性／(再掲)20-64歳","男性／(再掲)65歳以上","女性／総数","女性／20-29歳","女性／30-39歳","女性／40-49歳","女性／50-59歳","女性／60-69歳","女性／70歳以上","女性／(再掲)20-64歳","女性／(再掲)65歳以上"
"全国(人)","1620","82","143","211","223","433","528","850","770","2259","121","237","374","356","563","608","1332","927"
"全国(%)","37.8","17.1","18.9","21.3","27.8","39.0","56.1","24.6","52.5","27.3","8.3","14.3","17.6","21.3","35.9","37.5","19.8","38.0"
"東京都(人)","75","4","4","11","8","19","29","32","43","104","5","4","28","18","26","23","64","40"
"東京都(%)","53.3","0.0","25.0","45.5","50.0","68.4","58.6","43.8","60.5","32.7","0.0","25.0","14.3","22.2","50.0","52.2","18.8","55.0"
