"","平成２8年度","平成２8年度（実施率）(%)","平成２7年度","平成２7年度（実施率）(%)","平成２6年度","平成２6年度（実施率）(%)","平成２5年度","平成２5年度（実施率）(%)","平成２4年度","平成２4年度（実施率）(%)"
"区部(23)","22","95.7","22","95.7","22","95.7","22","95.7","22","95.7"
"市部(26)","26","100.0","26","100.0","26","100.0","25","96.2","26","100.0"
"町村部(13)","11","84.6","8","61.5","8","61.5","8","61.5","9","69.2"
"計(62)","59","95.2","56","90.3","56","90.3","55","88.7","57","91.9"
