"","よい(％)","まあよい(％)","ふつう(％)","あまりよくない(％)","よくない(％)","無回答(％)"
"困窮層","41.8","13.9","35.3","7.6","","1.5"
"周辺層","49.3","10.3","37.4","2.4","0.3","0.3"
"一般層","59.6","8.7","29.1","1.7","0.2","0.7"
