"年","0歳児(%)","1歳児(%)","2歳児(%)","3歳児(%)","4歳児以上(%)","2歳児以下(%)","全体(%)"
"19","1.5","3.1","2.9","1.2","0.5","2.5","1.6"
"20","1.8","3.7","3.3","1.4","0.6","2.9","1.9"
"21","2.2","4.1","3.8","1.6","0.8","3.4","2.3"
"22","2.7","4.8","4.3","1.8","0.9","3.9","2.6"
"23","2.9","5.3","4.6","1.9","1.1","4.3","2.9"
"24","3.3","6.0","5.4","2.2","1.2","4.9","3.3"
"25","3.6","6.4","5.7","2.5","1.3","5.3","3.5"
"26","3.9","6.4","5.9","2.4","1.5","5.4","3.6"
