"年度","身体障害者18歳未満(人)","身体障害者18歳以上(人)","知的障害者18歳未満(人)","知的障害者18歳以上(人)","精神障害者(人)"
"21","23898","428211","16373","50919","55868"
"22","23928","435272","16335","53472","61880"
"23","23986","441942","16353","55908","67066"
"24","23995","447838","16404","58567","73667"
"25","24032","455495","16231","61402","79556"
"26","24051","458172","16105","64264","86461"
"27","24062","456736","15880","67119","93935"
"28","24126","458530","15561","70089","100999"
