"町村名","津波の高さ（単位：m）","到達時間（単位：分）","浸水面積（単位：ha）"
"大島町","16.0","20","120"
"利島村","15.3","14","20"
"新島村","30.9","12","230"
"神津島村","24.3","11","120"
"三宅村","17.2","19","140"
"御蔵島村","7.0","18","20"
"八丈町","16.9","20","200"
"青ヶ島村","17.0","29","10"
"小笠原村","19.7","83","700"
