"","内容／件数","臭気強度／0","臭気強度／0(%)","臭気強度／1","臭気強度／1(%)","臭気強度／2","臭気強度／2(%)","臭気強度／3","臭気強度／3(%)","臭気強度／4","臭気強度／4(%)","臭気強度／5","臭気強度／5(%)","騒音強度／1","騒音強度／1(%)","騒音強度／2","騒音強度／2(%)","騒音強度／3","騒音強度／3(%)","騒音強度／4","騒音強度／4(%)","騒音強度／5","騒音強度／5(%)","店舗の周辺環境／商店街","店舗の周辺環境／商店街(%)","店舗の周辺環境／住宅街","店舗の周辺環境／住宅街(%)","店舗の周辺環境／ビル内","店舗の周辺環境／ビル内(%)","店舗の周辺環境／その他","店舗の周辺環境／その他(%)"
"全体（％）","340","196","58","74","22","31","9","25","7","6","2","2","1","225","66","61","18","31","9","7","2","4","1","152","45","112","33","47","14","17","5"
"売買（％）","238","121","51","57","24","28","12","22","9","5","2","1","0","154","65","47","20","24","10","5","2","2","1","121","51","56","24","39","16","13","5"
"貸出（％）","5","3","60","1","20","0","0","1","20","0","0","0","0","3","60","1","20","0","0","1","20","0","0","3","60","1","20","1","20","0","0"
"保管（％）","135","81","60","34","25","6","4","10","7","1","1","2","1","96","71","18","13","12","9","5","4","1","1","61","45","46","34","16","12","5","4"
"訓練（％）","17","8","47","2","12","3","18","3","18","1","6","0","0","9","53","2","12","3","18","1","6","2","12","2","12","12","71","1","6","2","12"
"輸出入（％）","6","3","50","1","17","1","17","1","17","0","0","0","0","2","33","1","17","0","0","1","17","2","33","2","33","2","33","0","0","2","33"
"美容（％）","208","131","63","49","24","11","5","10","5","1","0","2","1","147","71","34","16","13","6","5","2","1","0","95","46","71","34","26","13","7","3"
