"","使ってみたい(％)","興味がある(％)","使いたくない(％)","使う必要はない(％)","無回答(％)"
"家以外で平日の放課後に夜までいられる場所","17.7","23.7","18.3","38.6","1.8"
"家以外で休日にいることができる場所","27.5","27.0","12.7","31.0","1.8"
"家の人がいない時、夕ごはんをみんなで食べることができる場所","28.3","22.1","13.4","33.9","2.4"
"家で勉強できない時、静かに勉強ができる場所","35.3","24.7","12.4","25.4","2.1"
"大学生が勉強を無料でみてくれる場所","25.5","22.7","19.0","30.7","2.0"
"学校以外でなんでも相談できる場所","22.4","25.9","13.4","36.3","1.9"
