"","0歳","1歳","2歳","3歳","4歳","5歳","6歳","7歳～","年齢不明"
"変化なし(人)","5","5","1","2","1","0","0","2","0"
"マイナスの変化(人)","4","14","16","21","14","6","9","13","4"
"プラスの変化(人)","0","0","1","1","0","1","0","2","0"
