"","動物性たんぱく質(％)","野菜(％)","植物性たんぱく質(％)","果物(％)","乳製品(％)"
"16-17歳全体","95.3","88.4","72.7","45.4","68.1"
"困窮層","94.0","76.6","64.1","28.0","60.0"
"周辺層","95.0","86.8","70.3","42.0","66.7"
"一般層","96.2","89.8","75.1","48.2","70.3"
