"","18～24歳／男性(%)","18～24歳／女性(%)","25～34歳／男性(%)","25～34歳／女性(%)"
"まだ若すぎる","46","38","5","2"
"必要性を感じない","44","43","34","34"
"仕事（学業）に打ち込みたい","37","37","17","15"
"趣味や娯楽を楽しみたい","20","21","23","21"
"自由や気楽さを失いたくない","20","25","29","34"
"適当な相手にめぐり会わない","26","34","44","49"
"異性とうまくつきあえない","5","4","9","7"
"結婚資金が足りない","18","15","23","16"
"住宅の目途が立たない","4","4","6","5"
"親や周囲が同意しない","6","12","4","6"
