"","１００万未満(%)","１００～２００万未満(%)","２００～３００万未満(%)","３００～４００万未満(%)","４００万以上(%)","無回答(%)","サンプル数","平均"
"TOTAL","3.9","","9.1","17.2","10.5","56.3","3969","295.1"
"正規職員雇用のみ希望者","5.4","","12.6","30.4","21.2","29.5","1205","321.4"
"パート・非常勤雇用のみ希望者","5.4","6.8","5.5","4.3","","76.2","993","190.6"
"正規職員またはパート・非常勤雇用希望者","3.8","6.9","16.8","23.7","10.0","38.8","291","275.7"
