"","中学校(%)","高等学校(%)","専門学校(%)","短期大学・高等専門学校(%)","大学(%)","大学院(%)","その他(%)","無回答(卒業者)(%)","在学中(%)","無回答(その他)(%)"
"母子世帯","6.9","34.3","15.5","13.7","19.3","0.8","0.2","0.5","2.1","6.8"
"父子世帯","1.6","34.9","11.1","6.3","34.9","1.6","","","","9.5"
