"","6年度","7年度","8年度","9年度","10年度","11年度","計"
"＜在籍数＞／青梅市","935","931","905","880","816","812","5279"
"＜在籍数＞／東大和市","682","685","665","663","668","659","4022"
"＜在籍数＞／八王子市","","746","703","680","663","634","3426"
"＜在籍数＞／中野区","697","651","658","630","567","529","3732"
"＜在籍数＞／豊島区","1310","926","899","834","772","709","5450"
"＜在籍数＞／品川区","736","716","685","664","628","603","4032"
"＜在籍数＞／足立区","","847","837","817","794","780","4075"
"＜在籍数＞／総計","4360","5502","5352","5168","4908","4726","30016"
"＜受検者数＞／青梅市","907","903","860","813","789","782","5054"
"＜受検者数＞／東大和市","668","656","642","637","645","636","3884"
"＜受検者数＞／八王子市","","710","684","640","636","609","3279"
"＜受検者数＞／中野区","673","614","621","551","514","490","3463"
"＜受検者数＞／豊島区","1275","900","861","802","738","675","5251"
"＜受検者数＞／品川区","722","690","664","636","610","580","3902"
"＜受検者数＞／足立区","","819","801","784","758","744","3906"
"＜受検者数＞／総計","4245","5292","5133","4863","4690","4516","28739"
"＜受検率＞／青梅市(%)","97.0","97.0","95.0","92.4","96.7","96.3",""
"＜受検率＞／東大和市(%)","97.9","95.8","96.5","96.1","96.6","96.5",""
"＜受検率＞／八王子市(%)","","95.2","97.3","94.1","95.9","96.1",""
"＜受検率＞／中野区(%)","96.6","94.3","94.4","87.5","90.7","92.6",""
"＜受検率＞／豊島区(%)","97.3","97.2","95.8","96.2","95.6","95.2",""
"＜受検率＞／品川区(%)","98.1","96.4","96.9","95.8","97.1","96.2",""
"＜受検率＞／足立区(%)","","96.7","95.7","96.0","95.5","95.4",""
"＜受検率＞／総計(%)","97.4","96.2","95.9","94.1","95.6","95.6",""
