"","幼稚園希望者(%)","その他希望者(%)","サンプル数"
"TOTAL","56.3","43.7","1948"
"指定保育士養成施設卒（専門 ・短大・大学等）","63.9","36.1","1519"
"保育士試験","29.4","70.6","412"
