"","H24.4","H25.4","H26.4","H27.4","H28.4"
"総数","7257","8117","8672","7814","8466"
"3歳以上児","714","906","774","503","462"
"0～2歳児","6543","7211","7898","7311","8004"
"対前年増減","","860","555","-858","652"
