"年","平均出生児数(人)","理想子ども数(人)"
"昭和15","4.27",""
"昭和27","3.50",""
"昭和32","3.60",""
"昭和37","2.83",""
"昭和42","2.65",""
"昭和47","2.20",""
"昭和52","2.19","2.61"
"昭和57","2.23","2.62"
"昭和62","2.19","2.67"
"平成4","2.21","2.64"
"平成9","2.21","2.53"
"平成14","2.23","2.56"
