"","男性／平成25年(188)","男性／平成27年(193)","女性／平成25年(222)","女性／平成27年(218)"
"男性の飲酒量について(%)","31.9","33.2","30.6","23.9"
"女性の飲酒量について(%)","22.9","23.8","29.7","24.3"
