"","調定額(円)","収納額(円)","還付未済額(別掲)(円)","不納欠損額(円)","未収額(円)","居所不明者調定額(円)","収納率(%)"
"現年分","3534546242","3449762488","1150916","284465","84499289","0","97.60"
"滞納繰越分","544941147","184957582","9009","65194747","294788818","0","33.94"
"計","4079487389","3634720070","1159925","65479212","379288107","0","89.10"
