"","受け入れる(%)","断る(%)","未定(%)","無回答(%)"
"全施設（n=5348）","60.3","10.9","23.6",""
"認可保育所＊（n=1588）","80.1","1.4","16.1",""
"認証保育所＊（n=527）","43.6","12.3","39.7",""
"認定こども園＊（n=95）","57.9","5.3","33.7",""
"幼稚園＊（n=666）","54.4","10.4","31.7",""
"ベビーホテル（n=331）","28.4","25.4","42.6",""
"家庭的保育（n=596）","5.5","46.6","24.7",""
"学童保育（n=1169）","90.1","0.4","7.4",""
"上記以外の施設（n=376）","34.0","14.9","47.6",""
"＊前回調査施設 （再掲）（n=2876）","66.7","5.6","24.6","" 
