"","女性／低用量／n=2226(%)","女性／中用量／n=6642(%)","女性／高用量／n=1517(%)","男性／低用量／n=1383(%)","男性／中用量／n=3827(%)","男性／高用量／n=1012(%)"
"喫煙経験なし","22.2","63.6","14.2","43.3","39.1","37.2"
"喫煙経験あり","19.3","64.9","15.8","56.7","60.9","62.8"
